,gaia_dr3_source_id
5451,4213600446248924160
5473,2017735439096867584
5505,6367393061905528960
5533,6737870889248418944
5534,2142145179748734976
5535,2142145385907166208
5538,2241753167925181824
5542,4179798095858334464
5587,4322937016399839104
5607,2053240524960871680
5608,6739543452591798784
5629,2053300787637255808
5630,2053300791934158848
5645,6342718509147744768
5648,6772993688687389568
5665,6417099989732711168
5683,6367472604700948480
5685,4180213569520266496
5693,6765481245425985664
5700,2018579417338008832
5709,6417391940132434560
5755,2045289436683798656
5756,4294837042544744576
5773,6639116710507193856
5803,4186786797923376128
5809,6416242095782317312
5820,2032771290641139584
5834,4207055367062840320
5878,2025465619994915072
5892,4183272552601606400
5893,4239145713445699968
5902,2078245820251112192
5920,1825560185434765312
5925,2052087549578594432
5954,2032785962252363776
5997,6359804473168387712
6003,6744916083016444672
6031,6645604928622813824
6049,6752494088957691520
6072,2238516205691628544
6075,2238516240051369984
6087,2288964784173215744
6123,2138961505172741760
6129,4210694922359371904
6139,6741727357564567808
6147,6659380430632781440
6161,4315272222102560640
6170,2025075641305573888
6179,2248877792815618176
6219,2080031186620676992
6220,2239287302642036992
6229,2021891902269260416
6253,6689858897252088704
6274,6765172866775201408
6277,2139175291464582016
6281,2031252109169075712
6287,1825746140350592896
6318,6751441611519448576
6327,1826192885658652032
6328,2048599314570668544
6333,6641834458436873984
6334,2239083789913074816
6337,6417309000019659392
6350,4208943602192461696
6384,4289693458434353152
6387,6740193543137470336
6392,6752817856475037824
6413,2239070423973170944
6421,2235434820056756352
6425,6427802120522638720
6426,2238856672042310784
6432,2235432311795872768
6439,2049009329344931200
6465,4209104577563403136
6469,4239587884607271552
6470,4239587888920128000
6474,2138781391423418496
6475,2049033965264235776
6477,6417608062887395072
6481,2137314303609965056
6511,2241020820163644544
6529,2020837157077399552
6530,4209477007070084736
6566,2080422720133121152
6574,2134964715987304576
6579,2073203116337258112
6580,6366367011397901056
6582,6366367011397900928
6608,6642323156995855360
6609,6642323156995855232
6624,2076307346895820800
6625,2047145863304775680
6644,4291624029050010624
6650,6683351643838223360
6658,4209580601680083456
6659,2137455346040530560
6663,1827431309399470208
6702,6688440866551652224
6708,6869830186003978624
6715,6671045050707117568
6726,2080526555267049984
6727,2080526555267050496
6776,2078821040937940736
6801,4304333971134040448
6818,4301829970867752704
6826,6691348696851734272
6834,6691348662491990656
6849,2078926387894718976
6903,4297600905539762432
6904,4297600901227590272
6908,2235140911153705472
6951,2020672818744818816
6953,4297778923334668544
6965,4193659119253732736
6973,6863852416161801984
6975,2248577286842001536
6981,6747568654819397504
6985,6685059082317429888
6993,4193463474904213248
7005,6869020086453104000
7019,1827601497527441024
7022,2301478227225879680
7028,2241555835648825728
7030,4193640736793173760
7031,1827808789807982976
7040,4296826776322759424
7051,4182315736960202240
7065,4195392293177268864
7092,6427086201014273024
7098,2073627081140401408
7122,2076924104197356032
7145,4188443963805469440
7149,2263848330822361344
7157,4235363324709295872
7158,2086402036171426688
7162,6865516527012669696
7167,2250963944331107328
7169,2020634576352639744
7170,6347691183628207360
7190,2033875960546777344
7250,6428623936741531776
7254,2289568209898982656
7261,4240473060189338624
7289,4242268395171546752
7297,4190056401905259520
7303,6863991165081672576
7310,2138009607276818560
7331,2287917327548723328
7332,2287917327548728192
7333,6865704204197333760
7349,6754839927076348672
7354,2085540431371590784
7370,2137959167179631104
7372,1826319290853543680
7378,6683933800887779840
7412,2033431581736197504
7430,6692248376537478912
7462,6447462277482864256
7477,6416411003961044224
7483,2247750557176967424
7487,2247750557176967552
7523,2079408347639119616
7528,6746437291716528384
7550,2073612929242469632
7558,1827167671458992128
7665,2079188342234599040
7697,1827116063105369472
7706,2026797854420941568
7717,6367959099938573440
7729,6665682766859732096
7734,2059345249732918144
7736,6698310293376525440
7747,2251639181909479680
7762,2304956978935513472
7763,2072727577555473664
7779,2234223987175965440
7785,4234502200956160768
7825,6684087835594604160
7840,1820573762770159232
7847,4297527788014048512
7858,6871243303264652544
7869,2072757303041455616
7872,6442690573110350080
7885,4300251170941328768
7898,6697989884521349888
7906,2137699712500128256
7915,4241135657686132096
7920,6864088403144005248
