Gaia G,Gaia BP,Gaia RP,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,PanSTARR g,PanSTARR r,PanSTARR i,PanSTARR z,PanSTARR y,SkyMap u,SkyMap V,SkyMap g,SkyMap r,SkyMap i,SkyMap z,2MASS J,2MASS H,2MASS Ks,APASS V,APASS g,APASS r,APASS i,APASS B,Teff,Logg
4.240643134830614e-07,4.386307960636365e-07,3.802702947927629e-07,2.81451566358493e-07,4.5853964652504043e-07,4.4159876055769315e-07,3.947259264867629e-07,3.379552115839976e-07,4.656062829338949e-07,4.4223384721165425e-07,3.9281051895728393e-07,3.458784304223564e-07,3.1479416069465826e-07,2.719432170086441e-07,3.1673979885863865e-07,4.668635148239098e-07,4.46396841387099e-07,3.830951232798248e-07,3.306851385453371e-07,2.464970418237482e-07,1.7053842508172234e-07,1.0939168432382073e-07,4.765117964078023e-07,4.5853964652504043e-07,4.4159876055769315e-07,3.947259264867629e-07,4.23438589906145e-07,9250.0,7.0
4.2071215774014396e-07,4.3411458492871733e-07,3.795759486365408e-07,2.8950024119110717e-07,4.512815597885101e-07,4.383637991516166e-07,3.9409926483783654e-07,3.38422373787957e-07,4.585698287474478e-07,4.3902767898003896e-07,3.922531783002593e-07,3.4650057000359856e-07,3.148706823093441e-07,2.814033042978482e-07,3.217721117708319e-07,4.605908199991719e-07,4.4300578272087e-07,3.8285225246573713e-07,3.312014506396311e-07,2.46574396002353e-07,1.713542153785669e-07,1.1000656916795661e-07,4.7138410090890254e-07,4.512815597885101e-07,4.383637991516166e-07,3.9409926483783654e-07,4.1721319317151676e-07,9250.0,7.25
4.1771995559207964e-07,4.3011923664568e-07,3.7897014690483173e-07,2.9718699195631266e-07,4.448167958153956e-07,4.354210387370743e-07,3.9353133579176757e-07,3.388303163533242e-07,4.5221649070270693e-07,4.3611079856936437e-07,3.9173937767585606e-07,3.4696663027645164e-07,3.151462262061499e-07,2.9018936827371797e-07,3.2701018271658753e-07,4.5485293090412113e-07,4.3989840565986164e-07,3.825836534909603e-07,3.317119815408766e-07,2.4660792006072774e-07,1.7203476497751952e-07,1.1055353716181451e-07,4.665772758481737e-07,4.448167958153956e-07,4.354210387370743e-07,3.9353133579176757e-07,4.1197344622718356e-07,9250.0,7.5
4.1501128636807866e-07,4.266037782264574e-07,3.7831186151630145e-07,3.044240151991122e-07,4.3921695319359335e-07,4.325721585073738e-07,3.928703001768582e-07,3.3918043068501277e-07,4.466097331575521e-07,4.3328170565196646e-07,3.9113299073296967e-07,3.4734689929998087e-07,3.154736796396717e-07,2.982945854681389e-07,3.3226854277512875e-07,4.497164927365125e-07,4.368945919531628e-07,3.822271606306661e-07,3.3217476077289533e-07,2.465382520789916e-07,1.7271217308269195e-07,1.1099727464606077e-07,4.6211333983481745e-07,4.3921695319359335e-07,4.325721585073738e-07,3.928703001768582e-07,4.07635408121687e-07,9250.0,7.75
4.12472735194945e-07,4.234400000554733e-07,3.774784812956848e-07,3.111272235139713e-07,4.3423226880753597e-07,4.2974271872024376e-07,3.920600102853827e-07,3.393500942651868e-07,4.415652457611901e-07,4.304804913098301e-07,3.903736874370034e-07,3.475190692481867e-07,3.1570286464941345e-07,3.0562443707934375e-07,3.3739674705988337e-07,4.450371700995815e-07,4.3396247657937153e-07,3.81703159658269e-07,3.3246323169302565e-07,2.463915282844447e-07,1.7334811807872184e-07,1.1135418893137388e-07,4.579945024223241e-07,4.3423226880753597e-07,4.2974271872024376e-07,3.920600102853827e-07,4.0402240335491763e-07,9250.0,8.0
4.101205758639068e-07,4.2065733637042697e-07,3.7646485697242793e-07,3.1728355134587654e-07,4.2991096344212125e-07,4.2699707634501307e-07,3.9107607464010685e-07,3.393044152951352e-07,4.371199521583503e-07,4.2776465657388877e-07,3.8943543681352876e-07,3.474270635714303e-07,3.1581636640681164e-07,3.122274270409138e-07,3.4225436985139575e-07,4.408280568712952e-07,4.311444850669311e-07,3.8097186521045464e-07,3.325439502695859e-07,2.461862383158938e-07,1.7391805096422398e-07,1.116385530452511e-07,4.542680140606935e-07,4.2991096344212125e-07,4.2699707634501307e-07,3.9107607464010685e-07,4.0112337033685016e-07,9250.0,8.25
4.0799480457311176e-07,4.1828426297924866e-07,3.7534282671407117e-07,3.2307669509128043e-07,4.2623352103750073e-07,4.2440152711031095e-07,3.899797482168553e-07,3.3906805729814207e-07,4.332782160745129e-07,4.251991680930673e-07,3.883793239952423e-07,3.471324558033274e-07,3.158008168387993e-07,3.18345134281857e-07,3.469861841778569e-07,4.371241324555702e-07,4.285030616064634e-07,3.800979867193307e-07,3.324363942955235e-07,2.459598933588771e-07,1.7443367296607442e-07,1.1186839610010917e-07,4.5097228713408707e-07,4.2623352103750073e-07,4.2440152711031095e-07,3.899797482168553e-07,3.989471531819958e-07,9250.0,8.5
4.060825400147407e-07,4.1628980278325306e-07,3.7411306210834557e-07,3.286431710338847e-07,4.231760121161854e-07,4.218498748277386e-07,3.888590853258984e-07,3.3873188314174516e-07,4.299996338161474e-07,4.226869534285647e-07,3.8729586022498375e-07,3.4672746139744727e-07,3.157042300120135e-07,3.241450475089597e-07,3.5165874337593906e-07,4.3390220691512317e-07,4.2597776570173636e-07,3.7917731487899784e-07,3.322081565081596e-07,2.4574002645149357e-07,1.7491689097410507e-07,1.1205874187249843e-07,4.4808719742362435e-07,4.231760121161854e-07,4.218498748277386e-07,3.888590853258984e-07,3.975071147774699e-07,9250.0,8.75
4.0454038686593324e-07,4.148217533995881e-07,3.729699143452974e-07,3.340769959765513e-07,4.2090087365722425e-07,4.1956219968970623e-07,3.8784947296993913e-07,3.3842310856843124e-07,4.274412170350681e-07,4.2043960012576587e-07,3.8631998076071935e-07,3.4634850104276594e-07,3.156101877172012e-07,3.297300646656853e-07,3.563916806709501e-07,4.3129150439289586e-07,4.2374522474966763e-07,3.7834657846401574e-07,3.319981064267755e-07,2.455812972118331e-07,1.7538411747622297e-07,1.1222461547444301e-07,4.4568945620513497e-07,4.2090087365722425e-07,4.1956219968970623e-07,3.8784947296993913e-07,3.9698514773935185e-07,9250.0,9.0
4.035048788047187e-07,4.139902022042456e-07,3.720946587880994e-07,3.395321894136594e-07,4.194582974078136e-07,4.177335093414125e-07,3.8713376057523424e-07,3.382861771586176e-07,4.256660496645399e-07,4.186439453119412e-07,3.8563423662059797e-07,3.46153926233681e-07,3.1565502133312414e-07,3.3526974973043505e-07,3.6138470314304347e-07,4.2939312049138017e-07,4.2197981571978656e-07,3.7778511335280664e-07,3.3193561848066095e-07,2.455807929858498e-07,1.758676235533794e-07,1.1240003916034341e-07,4.43885374948741e-07,4.194582974078136e-07,4.177335093414125e-07,3.8713376057523424e-07,3.974435259064153e-07,9250.0,9.25
